year,scenario_id,scenario_name_cn,scenario_order,facility_count,mean_e_net_m_year,v_net_m3_year,v_service_m3_year,shadow_avoided_electricity_kwh_year,shadow_gross_mechanical_cost_cny_year,shadow_net_cost_difference_cny_year,shadow_avoided_carbon_tco2_year,process_electricity_kwh_year,process_electricity_cost_cny_year,process_electricity_carbon_tco2_year,nonpositive_facility_count,negative_pi_cost_facility_count,v_net_10k_m3_year,v_service_10k_m3_year,nonpositive_facility_share_pct
2009,estimated_lower,估算下界,1,2486,0.2679661094288011,22542696.90723785,30054596.27468933,450818944.12034,443305295.05166763,-137269867.5980919,197938.3277094772,9405794127.949968,4232607357.577486,4018310.0299593736,979,1106,2254.269690723785,3005.4596274689334,39.38053097345133
2009,estimated_base,估算基准,2,2486,0.4379763133547868,36419947.4729575,40164298.04281,803285960.8562,1124600345.19868,-1242777970.0304332,438561.0141776802,15897034263.02357,10333072270.96532,8488374.938597515,616,1722,3641.99474729575,4016.429804281,24.778761061946902
2009,estimated_upper,估算上界,3,2486,0.5303731633145616,43961931.47606601,46434523.68596401,1160863092.1491,2205639875.08329,-6971259581.182919,758304.6498266917,25932004120.98544,23338803708.886898,16612797.923767619,481,1976,4396.193147606601,4643.452368596401,19.348350764279967
2010,estimated_lower,估算下界,1,2486,0.059538261174577514,5900848.09425813,23660045.066202775,354900675.99304163,348985664.7264909,-188988656.62821448,160938.52430179156,9604479813.497631,4322015916.073935,4105645.859230822,1096,1137,590.084809425813,2366.0045066202774,44.08688656476267
2010,estimated_base,估算基准,2,2486,0.21939211584875304,18956536.8050425,32135333.6853775,642706673.70755,899789343.19057,-1051480780.2113229,362466.39588276885,16233255841.1287,10551616296.733656,8673102.048505537,936,1483,1895.6536805042501,3213.53336853775,37.650844730490746
2010,estimated_upper,估算上界,3,2486,0.30626921078037017,26052019.80003401,37056672.74581601,926416818.6454002,1760191955.4262602,-5434235310.4119625,625042.4896302625,26481642073.939804,23833477866.545822,16975127.226287585,880,1584,2605.201980003401,3705.667274581601,35.39823008849557
2011,estimated_lower,估算下界,1,2486,0.32874593724859197,27569873.691883508,30633871.25983917,459508068.89758754,451849601.0826278,-314066055.3261403,200828.013268541,9635932137.390236,4336169461.825606,4115544.103793296,527,1656,2756.987369188351,3063.387125983917,21.198712791633145
2011,estimated_base,估算基准,2,2486,0.4977626307320997,41378911.14568,42800716.0559775,856014321.11955,1198420049.56737,-1598364684.3507712,464780.734855346,16286206005.616697,10586033903.650854,8693893.992322404,283,2092,4137.891114568,4280.07160559775,11.383748994368464
2011,estimated_upper,估算上界,3,2486,0.589619529364441,48883822.80535201,49823566.618296005,1245589165.4574,2366619414.3690605,-8161925749.800955,809090.0833737899,26567274218.00747,23910546796.206722,17015313.937921774,178,2293,4888.382280535201,4982.356661829601,7.160096540627514
2012,estimated_lower,估算下界,1,2486,0.07151503420756221,7080629.060640468,25121966.737974092,376829501.0696114,370549009.3851179,-176961197.56120095,169521.07582566867,9638556587.257935,4337350464.26607,4119565.822358093,1065,1169,708.0629060640468,2512.1966737974094,42.839903459372486
2012,estimated_base,估算基准,2,2486,0.23003713596138373,20044244.73858,33683603.2518825,673672065.03765,943140891.0527099,-1004258747.5204512,377927.0747450058,16290669156.119862,10588934951.47791,8702447.858367644,935,1479,2004.424473858,3368.36032518825,37.610619469026545
2012,estimated_upper,估算上界,3,2486,0.3161904521319389,27089688.041808005,38607623.167266004,965190579.1816502,1833862100.445135,-5529889304.862556,648691.1102103434,26574555600.7492,23917100040.67428,17032164.93716128,859,1605,2708.9688041808004,3860.7623167266006,34.55349959774738
