year,scenario_id,scenario_name_cn,process_type_p,facility_count,annual_wastewater_m3_year,process_electricity_kwh_year,process_electricity_carbon_tco2_year,shadow_avoided_carbon_tco2_year,process_carbon_share_pct,process_carbon_10k_tco2_year,process_name_cn
2013,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11619909340.280128,6225524.466475277,418163.64758093783,73.64949224063228,622.5524466475277,氧化沟/SBR
2014,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,49075134.76943754,26687.89911400944,13379.0076259525,0.32003342711667593,2.668789911400944,稳定塘/氧化塘
2014,estimated_base,估算基准,low_conventional,166,13498795000.0,4118836030.258485,2171808.6970627434,7910.23362375117,26.04369034046351,217.18086970627434,常规工艺
2014,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11482639422.369402,6140600.777010993,395824.3277384649,73.63627623241982,614.0600777010993,氧化沟/SBR
2015,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,48801322.84757736,26569.526987527046,13723.1018924425,0.3173547292067001,2.6569526987527046,稳定塘/氧化塘
2015,estimated_base,估算基准,low_conventional,166,13498795000.0,4129761288.420031,2179964.769378168,6854.5060412673,26.0381801072683,217.9964769378168,常规工艺
2015,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11507311218.314335,6165651.318748214,349509.96934283397,73.644465163525,616.5651318748214,氧化沟/SBR
2016,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,48744085.894161984,26524.198222844465,11772.0652412875,0.31791852078660576,2.6524198222844464,稳定塘/氧化塘
2016,estimated_base,估算基准,low_conventional,166,13498795000.0,4119223562.7539544,2171350.782156374,5653.730295532079,26.025767978820525,217.13507821563738,常规工艺
2016,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11480445212.35988,6145205.553971946,298170.8075118577,73.65631350039287,614.5205553971946,氧化沟/SBR
2017,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,48396580.02964935,26310.331902688475,13790.578717965001,0.31859768674225286,2.6310331902688473,稳定塘/氧化塘
2017,estimated_base,估算基准,low_conventional,166,13498795000.0,4078443435.801258,2149546.8924912554,7234.30228245588,26.02934353031604,214.95468924912555,常规工艺
2017,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11372223767.162668,6082310.6774884295,378304.46559068083,73.65205878294171,608.231067748843,氧化沟/SBR
2018,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,48873888.933720395,26588.62147757361,12240.930254065,0.31981701803129503,2.658862147757361,稳定塘/氧化塘
2018,estimated_base,估算基准,low_conventional,166,13498795000.0,4094564311.157551,2158411.9244389404,6161.14839219348,25.96211563429444,215.84119244389404,常规工艺
2018,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11454201719.633179,6128697.593490137,336087.31033797725,73.71806734767425,612.8697593490136,氧化沟/SBR
2019,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,48293300.72656988,26274.734789912432,14585.843135235,0.3208960319387474,2.6274734789912433,稳定塘/氧化塘
2019,estimated_base,估算基准,low_conventional,166,13498795000.0,4038959621.3219066,2129550.485061994,8795.63469719274,26.008418579052233,212.95504850619938,常规工艺
2019,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11279379487.365616,6032102.387469755,444032.4293792965,73.67068538900902,603.2102387469755,氧化沟/SBR
2020,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,48814803.062301695,26574.650904604805,10150.6066062675,0.3189131958845578,2.6574650904604806,稳定塘/氧化塘
2020,estimated_base,估算基准,low_conventional,166,13498795000.0,4100800241.1146955,2163528.7171346024,4595.805522472981,25.963759977364575,216.35287171346025,常规工艺
2020,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11471728542.206678,6142775.68730865,255603.4264495508,73.71732682675086,614.277568730865,氧化沟/SBR
2021,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,48225132.462745026,26236.684971604485,9303.18567567,0.3182198145592941,2.6236684971604487,稳定塘/氧化塘
2021,estimated_base,估算基准,low_conventional,166,13498795000.0,4052961903.647179,2138690.0176293016,2840.7891566298304,25.939768745418217,213.86900176293017,常规工艺
2021,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11351028972.427135,6079903.999704649,189542.55360466748,73.74201144002248,607.9903999704649,氧化沟/SBR
2022,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,48330853.18886529,26287.208039504298,12879.808829797501,0.31637979421459733,2.6287208039504297,稳定塘/氧化塘
